iter	Passed	Remaining
0	1	120
1	4	232
2	5	191
3	6	159
4	7	141
5	8	128
6	8	119
7	9	111
8	10	105
9	11	100
10	11	96
11	12	92
12	13	88
13	13	85
14	14	82
15	15	80
16	16	78
17	17	78
18	18	78
19	19	77
20	19	75
21	20	72
22	21	70
23	21	68
24	22	67
25	23	66
26	23	64
27	24	63
28	25	61
29	25	60
30	26	59
31	27	57
32	27	56
33	28	55
34	29	54
35	29	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	36	43
46	37	42
47	38	41
48	38	40
49	39	39
50	39	38
51	40	37
52	40	36
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	46	29
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	52	20
72	53	19
73	54	18
74	54	18
75	55	17
76	55	16
77	56	15
78	57	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
