iter	Passed	Remaining
0	161	161205
1	164	82142
2	166	55227
3	167	41648
4	168	33460
5	169	28001
6	169	24106
7	170	21196
8	171	18900
9	172	17063
10	173	15558
11	173	14304
12	174	13242
13	175	12335
14	176	11600
15	177	10940
16	178	10326
17	179	9776
18	179	9277
19	180	8830
20	180	8423
21	181	8053
22	181	7716
23	182	7407
24	182	7122
25	183	6859
26	183	6618
27	184	6392
28	184	6184
29	185	5987
30	185	5804
31	186	5631
32	186	5469
33	187	5317
34	187	5173
35	188	5037
36	188	4913
37	190	4826
38	191	4727
39	192	4619
40	192	4513
41	193	4414
42	194	4318
43	194	4227
44	195	4139
45	195	4055
46	196	3974
47	196	3897
48	196	3822
49	197	3752
50	198	3684
51	198	3618
52	198	3555
53	199	3496
54	200	3437
55	200	3380
56	201	3325
57	201	3272
58	202	3224
59	202	3175
60	203	3138
61	205	3103
62	205	3061
63	206	3018
64	206	2977
65	207	2936
66	207	2896
67	208	2857
68	208	2819
69	209	2782
70	209	2746
71	210	2711
72	210	2677
73	211	2644
74	211	2612
75	212	2580
76	212	2551
77	213	2521
78	213	2492
79	214	2464
80	214	2436
81	215	2409
82	215	2382
83	216	2358
84	216	2333
85	217	2309
86	217	2285
87	218	2267
88	219	2247
89	220	2227
90	220	2206
91	221	2186
92	222	2167
93	222	2148
94	223	2129
95	224	2109
96	224	2090
97	225	2072
98	225	2053
99	226	2037
100	226	2019
101	227	2002
102	227	1984
103	228	1967
104	229	1953
105	229	1938
106	230	1922
107	230	1906
108	231	1890
109	231	1875
110	232	1860
111	232	1845
112	233	1835
113	234	1826
114	235	1814
115	236	1801
116	236	1787
117	237	1773
118	237	1760
119	238	1747
120	238	1734
121	239	1720
122	239	1708
123	240	1695
124	240	1683
125	240	1671
126	241	1659
127	241	1647
128	242	1636
129	242	1625
130	243	1615
131	243	1604
132	244	1594
133	245	1583
134	245	1573
135	246	1563
136	246	1552
137	246	1542
138	247	1532
139	248	1527
140	249	1522
141	250	1512
142	251	1504
143	251	1495
144	252	1486
145	252	1477
146	253	1468
147	253	1459
148	253	1450
149	254	1441
150	254	1433
151	255	1425
152	256	1418
153	256	1410
154	257	1402
155	257	1394
156	258	1386
157	258	1379
158	259	1371
159	259	1363
160	260	1355
161	260	1347
162	261	1340
163	261	1333
164	261	1325
165	262	1318
166	263	1314
167	264	1309
168	265	1305
169	266	1299
170	266	1292
171	267	1286
172	267	1279
173	268	1272
174	268	1266
175	269	1259
176	269	1253
177	270	1246
178	270	1241
179	271	1235
180	271	1229
181	272	1223
182	272	1217
183	273	1211
184	273	1205
185	274	1199
186	274	1194
187	275	1188
188	275	1182
189	276	1177
190	276	1171
191	277	1165
192	277	1160
193	278	1157
194	279	1153
195	280	1151
196	281	1146
197	281	1140
198	282	1135
199	282	1130
200	283	1125
201	283	1120
202	284	1115
203	284	1111
204	285	1107
205	286	1103
206	287	1099
207	287	1095
208	288	1091
209	289	1087
210	289	1083
211	290	1079
212	291	1075
213	291	1071
214	292	1066
215	292	1063
216	294	1061
217	295	1059
218	296	1056
219	297	1053
220	297	1049
221	298	1045
222	299	1043
223	300	1039
224	300	1035
225	301	1031
226	301	1027
227	302	1023
228	302	1019
229	303	1015
230	304	1012
231	304	1008
232	305	1004
233	305	1000
234	306	997
235	306	993
236	307	990
237	308	989
238	310	987
239	311	984
240	311	981
241	312	977
242	312	974
243	313	971
244	314	967
245	314	964
246	315	960
247	315	957
248	316	953
249	316	949
250	317	946
251	317	942
252	318	939
253	318	935
254	319	932
255	319	928
256	320	925
257	320	921
258	321	918
259	321	915
260	321	911
261	322	908
262	323	906
263	324	904
264	325	902
265	325	899
266	326	897
267	327	894
268	328	891
269	328	888
270	329	885
271	329	883
272	330	880
273	330	876
274	331	873
275	332	870
276	332	867
277	333	864
278	333	861
279	333	858
280	334	855
281	334	852
282	335	849
283	335	846
284	336	843
285	336	840
286	337	839
287	339	838
288	340	836
289	340	833
290	341	831
291	341	828
292	342	826
293	342	823
294	343	820
295	343	817
296	344	814
297	344	812
298	345	809
299	345	806
300	346	804
301	346	801
302	347	798
303	347	795
304	348	793
305	348	791
306	349	788
